000078472/000,*8BB82805ED1DEA9818C84C6D000078472/000*
000078473/000,*50B011D29DD45DC6113E2D5F000078473/000*
000078474/000,*BD6FE5412787817A2D1B3124000078474/000*
000078475/000,*310E05AAA803886239E4503C000078475/000*
000078476/000,*C27E4ED2BAE21D253CBBBEFB000078476/000*
000078477/000,*7DFB90F21B54A9243EBE5502000078477/000*
000078478/000,*EDEF5E3711331A35F1184F40000078478/000*
000078479/000,*4E4600BBF6F8E3C134B3C60D000078479/000*
000078480/000,*3EB65B2002911234F507CC83000078480/000*
000078481/000,*E8F28F97950850F84E572C2F000078481/000*
000078482/000,*1CEF003837DD69E4D8F72734000078482/000*
000078399/000,*D02C09F19E857A7443F02045000078399/000*
000078400/000,*CB8973916850492BDB2E41AA000078400/000*
000078401/000,*7BDF62F1FE7C97CF38EC037F000078401/000*
000078402/000,*840A37D3E20C61882FD618DD000078402/000*
000078403/000,*F344AECCCB33F20D8E41D6CE000078403/000*
000078404/000,*B274B256FB979A3D77D437FB000078404/000*
000078405/000,*10B17147137A78BC3963D0F7000078405/000*
000078406/000,*BC7D7A4ED6B3309892143003000078406/000*
000078407/000,*F08F380F5911DC31AF6336EE000078407/000*
000078408/000,*5CF2FB4CE55829671CFE2BD2000078408/000*
000078409/000,*E947AC91CCA77114CB36C36E000078409/000*
000078410/000,*BD5DCB7971B7C07073E58D97000078410/000*
000078411/000,*B42A2F9F47FD76D96481399D000078411/000*
000078412/000,*50FB6BF964C6C3CFACBD1158000078412/000*
000078413/000,*7A066B59B677F8665FDC1C00000078413/000*
000078415/000,*C6667178282610683B51F19B000078415/000*
000078416/000,*1A33164A7BE4EF62B9A0844E000078416/000*
000078417/000,*3177FF671340AF3CA80FA746000078417/000*
000078418/000,*B0D4F37D02523661C0E52256000078418/000*
000078419/000,*E431A5F7A21E6987884CD44F000078419/000*
000078420/000,*0411CBF3296DEE95652132A2000078420/000*
000078421/000,*55DE6A4649B2B4730A1BFA19000078421/000*
000078422/000,*AEC63D5634D80416CFBB62BB000078422/000*
000078423/000,*3A019B2B97D9F56E492D8605000078423/000*
000078424/000,*2BF7524220A3C555743D5DC6000078424/000*
000078425/000,*AF86589CC9F716B135180A2A000078425/000*
000078426/000,*16A46AD9C50D55DA31F8913D000078426/000*
000078427/000,*2B90A104774FE680CA1C5C24000078427/000*
000078428/000,*15579002EF5FFB3D9BBDEDA2000078428/000*
000078429/000,*5684C5A54E6AD89EBA092318000078429/000*
000078430/000,*2E14D9AF957ACB63BD3818C4000078430/000*
000078431/000,*0178EC57EAFE08382C049587000078431/000*
000078432/000,*5B2A6464CF422FB31531DCCF000078432/000*
000078433/000,*2705FCB3E4649A004A4A4F4B000078433/000*
000078434/000,*1600ED2595C4B585A708BA03000078434/000*
000078435/000,*8BB6CB726067110C97CA6AE0000078435/000*
000078436/000,*A9CB5348300FE9CF213EC062000078436/000*
000078437/000,*786A47A3D6D5C0BC51ACF7A2000078437/000*
000078438/000,*FF90E68B07824C88647959F8000078438/000*
000078439/000,*EDF823FF23FDF814DDBF8C7D000078439/000*
000078440/000,*9F299183F4B77408D956ECC0000078440/000*
000078441/000,*2083EDF57551F0CBB246145C000078441/000*
000078442/000,*3247BCB0526865357B858956000078442/000*
000078443/000,*4138ED26AE5E5B861A2185F4000078443/000*
000078444/000,*37F05AEE9EF84D588D8A087D000078444/000*
000078445/000,*8BAA8AA72BA8FE454BCE54BC000078445/000*
000078446/000,*1CDB96FB33BBD425711192BD000078446/000*
000078581/000,*7F9988D7E06B5476401B8370000078581/000*
